team,autoLowerFront,autoLowerBack,autoLowerLeft,autoLowerRight,autoUpperFront,autoUpperBack,autoUpperLeft,autoUpperRight,teleopLowerFront,teleopLowerBack,teleopLowerLeft,teleopLowerRight,teleopUpperFront,teleopUpperBack,teleopUpperLeft,teleopUpperRight,
58,0,0,0,0,0,0,0,1,3,1,1,2,2,1,2,5,
88,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,
125,1,0,0,0,0,2,0,0,2,0,1,2,0,0,0,0,
151,0,0,0,0,1,1,0,0,0,0,2,0,1,2,4,2,
157,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,
238,0,0,0,0,0,0,0,1,3,1,1,2,2,1,2,5,
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
501,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
509,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,
811,0,0,0,0,0,0,0,0,3,2,4,3,0,0,0,0,
1073,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
1153,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,
1721,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,
2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2370,0,0,0,0,1,1,0,0,0,0,2,0,1,2,4,2,
2713,0,0,0,0,0,0,0,0,3,2,4,3,0,0,0,0,
3467,1,0,0,0,0,2,0,0,2,0,1,2,0,0,0,0,
4041,0,0,0,0,0,0,0,0,3,2,4,3,0,0,0,0,
4909,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,3,
5459,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
5687,1,0,0,0,0,2,0,0,2,0,1,2,0,0,0,0,
5813,0,0,0,0,1,1,0,0,0,0,2,0,1,2,4,2,
6153,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,
8724,0,0,0,0,0,0,0,1,3,1,1,2,2,1,2,5,
